intersection_id,channel_id,approach,verification,source_note
1029,1,west,manual,Graphic/1029.png and worked 1029.xlsx
1029,2,west,manual,Graphic/1029.png and worked 1029.xlsx
1029,3,west,manual,Graphic/1029.png and worked 1029.xlsx
1029,4,north,manual,Graphic/1029.png
1029,5,north,manual,Graphic/1029.png
1029,6,east,manual,Graphic/1029.png
1029,7,east,manual,Graphic/1029.png
1029,8,east,manual,Graphic/1029.png
1081,1,south,manual,Graphic/1081.png
1081,2,south,manual,Graphic/1081.png
1081,3,south,manual,Graphic/1081.png
1081,4,west,manual,Graphic/1081.png
1081,5,west,manual,Graphic/1081.png
1081,6,west,manual,Graphic/1081.png
1081,7,north,manual,Graphic/1081.png
1081,8,north,manual,Graphic/1081.png
1081,9,north,manual,Graphic/1081.png
1081,10,east,manual,Graphic/1081.png
1081,11,east,manual,Graphic/1081.png
1081,12,east,manual,Graphic/1081.png
1092,1,south,manual,Graphic/1092.png and worked 1029.xlsx
1092,2,south,manual,Graphic/1092.png and worked 1029.xlsx
1092,3,south,manual,Graphic/1092.png and worked 1029.xlsx
1092,4,south,manual,Graphic/1092.png and worked 1029.xlsx
1092,5,west,manual,Graphic/1092.png and worked 1029.xlsx
1092,6,west,manual,Graphic/1092.png and worked 1029.xlsx
1092,7,west,manual,Graphic/1092.png and worked 1029.xlsx
1092,8,north,manual,Graphic/1092.png and worked 1029.xlsx
1092,9,north,manual,Graphic/1092.png and worked 1029.xlsx
1092,10,north,manual,Graphic/1092.png and worked 1029.xlsx
1092,11,east,manual,Graphic/1092.png and worked 1029.xlsx
1092,12,east,manual,Graphic/1092.png and worked 1029.xlsx
1092,13,east,manual,Graphic/1092.png and worked 1029.xlsx
1092,14,east,manual,Graphic/1092.png and worked 1029.xlsx
1109,1,south,manual,Graphic/1109.png
1109,2,south,manual,Graphic/1109.png
1109,3,south,manual,Graphic/1109.png
1109,4,south,manual,Graphic/1109.png
1109,5,north,manual,Graphic/1109.png
1109,6,north,manual,Graphic/1109.png
1109,8,north,manual,Graphic/1109.png
1109,9,east,manual,Graphic/1109.png
1109,10,east,manual,Graphic/1109.png
1109,12,east,manual,Graphic/1109.png
