intersection_id,channel_id,intersection_records,observations,finite,invalid,zero,positive,volume,finite_rate,positive_rate
1001,1,76422,76422,72704,3718,4316,68388,1958867,0.9513490879589647,0.8948732040511894
1001,2,76422,76422,72837,3585,1416,71421,2630048,0.9530894245112664,0.9345607285860092
1001,3,76422,76422,72814,3608,2633,70181,2371475,0.9527884640548533,0.918335034414174
1001,4,76422,76422,72871,3551,397,72474,3894859,0.9535343225772683,0.948339483394834
1001,5,76422,76422,72895,3527,203,72692,4336366,0.9538483682709168,0.9511920651121405
1001,6,76422,76422,72891,3531,324,72567,3832883,0.9537960273219753,0.9495564104577215
1001,7,76422,76422,72238,4184,1879,70359,2683763,0.9452513674072911,0.9206642066420664
1001,8,76422,76422,72924,3498,1321,71603,3032924,0.9542278401507419,0.9369422417628431
1001,9,76422,76422,72924,3498,1163,71761,3428629,0.9542278401507419,0.9390097092460287
1001,10,76422,76422,72922,3500,6410,66512,2018999,0.9542016696762712,0.8703252989976709
1001,11,76422,76422,72919,3503,402,72517,3159503,0.9541624139645651,0.948902148595954
1001,12,76422,76422,72919,3503,2213,70706,2621395,0.9541624139645651,0.9252047839627332
1002,1,76422,76422,74286,2136,3151,71135,3048920,0.9720499332652901,0.9308183507366988
1002,2,76422,76422,74789,1633,2180,72609,3547546,0.9786318075946717,0.9501059904216064
1002,3,76422,76422,74731,1691,3288,71443,3067169,0.9778728638350214,0.934848603805187
1002,4,76422,76422,73576,2846,7124,66452,843973,0.9627594148281908,0.8695401847635498
1002,5,76422,76422,74780,1642,333,74447,2341453,0.9785140404595535,0.9741566564601816
1002,6,76422,76422,74664,1758,1412,73252,1711188,0.9769961529402528,0.958519797963937
1002,7,76422,76422,204,76218,204,0,0,0.0026693883960116197,0.0
1002,8,76422,76422,74804,1618,232,74572,3835089,0.9788280861532019,0.9757923111146005
1002,9,76422,76422,74800,1622,1100,73700,3027963,0.9787757452042606,0.9643819842453744
1002,10,76422,76422,74797,1625,4129,70668,1141604,0.9787364894925545,0.92470754494779
1002,11,76422,76422,74797,1625,911,73886,1965698,0.9787364894925545,0.9668158383711497
1002,12,76422,76422,74801,1621,3189,71612,2025833,0.9787888304414959,0.9370600088979614
1002,13,76422,76422,74801,1621,74801,0,0,0.9787888304414959,0.0
1002,14,76422,76422,74800,1622,74800,0,0,0.9787757452042606,0.0
