year_month,previous_month,paired_intersections,median_change,mean_change,p25_change,p75_change
2018-11,2018-10,64,-0.015594482922660469,-0.002536314698575662,-0.029375643857530498,-0.009276538815816415
2018-12,2018-11,67,0.01965859389993696,0.020878209424281723,0.007794223862537586,0.029875445830362723
2019-01,2018-12,67,-0.006373492730219477,-0.016672711978116525,-0.016890674914904702,-0.0004490836641960483
2019-02,2019-01,66,0.0065542799907510885,0.010652070510848684,-0.004097408045497547,0.023132473245341567
2019-03,2019-02,65,-0.022305954670666317,-0.020502287414297216,-0.034241358918376874,-0.00786638536193418
2019-04,2019-03,60,0.005895646525543197,0.003333371269982281,-0.017350680610737135,0.021454421985945715
2019-05,2019-04,62,0.013768901551047708,0.0022700622481386305,-0.002708592837178281,0.026983716602653696
2019-06,2019-05,64,-0.00511067934128534,-0.006255603031008722,-0.021713083516045478,0.007171740355209344
2019-07,2019-06,62,0.032808582096499284,0.03258729234189755,0.014995904134116333,0.04351706526870375
2019-08,2019-07,64,-0.020534977293842405,-0.021881440119030135,-0.02858114161333536,-0.01097980876591087
2019-09,2019-08,65,-0.01570358182465692,-0.00304339714977009,-0.028549128049621064,-0.0007477180774432268
2019-10,2019-09,64,-0.010859821709965467,-0.0020835355560204095,-0.02393549215763552,0.0014003771035892565
2019-11,2019-10,42,-0.027269803193376407,-0.03169191290303171,-0.05453248873104538,-0.015551724800068806
2019-12,2019-11,37,0.011345921200123898,0.01622492402870036,-0.0029390707313970976,0.021300404418793217
2020-01,2019-12,34,-0.004195145437635439,-0.0012740450119764278,-0.007575930273055365,0.0060379997556566645
2020-02,2020-01,39,0.003274061532330119,0.008590280859532848,-0.007737798283383557,0.013971040475703744
2020-03,2020-02,41,-0.2584248109144456,-0.2576394776400213,-0.3032115591104402,-0.2316759696448225
2020-04,2020-03,42,0.05763378196313329,0.06187747010275594,0.03568341882883602,0.08592588940512291
2020-05,2020-04,43,0.24351213416797513,0.2703399860015359,0.21573135475867056,0.2784376952025408
2020-06,2020-05,48,0.0388276867105557,0.031488648160712486,0.012443479039269678,0.05699694213202805
2020-07,2020-06,47,0.002439052199491254,0.0049993951795282,-0.007661070154554139,0.012759432495121348
2020-08,2020-07,44,-0.00579345527228825,-0.003253547252479939,-0.01703180596782994,0.001944650949358806
2020-09,2020-08,44,0.023993718974329337,0.029815678834425565,0.013460651456786543,0.035734293594496536
2020-10,2020-09,46,-0.05332715665039889,-0.0482257800370119,-0.06673394419212236,-0.03740688634074846
