year_month,intersection_id,south_mean,south_observations,south_coverage,west_mean,west_observations,west_coverage,north_mean,north_observations,north_coverage,east_mean,east_observations,east_coverage
2018-10,1081,160.14767199444057,2878,0.9993055555555556,64.04239054899236,2878,0.9993055555555556,172.32974287699793,2878,0.9990740740740741,69.70152883947186,2878,0.9993055555555556
2018-11,1081,158.926905673512,2873,0.997337038323492,63.39888618169161,2873,0.9979159430357764,170.62095370692657,2873,0.9979159430357764,66.95440306300034,2873,0.9979159430357764
2018-12,1081,164.31932052161977,2914,0.9793837535014005,63.93445435827042,2914,0.9793837535014005,176.27360109852387,2913,0.9791596638655462,70.71438379677309,2913,0.9791596638655462
2019-01,1081,159.78302521008402,2975,0.9994397759103641,63.96773109243698,2975,1.0,174.25865546218486,2975,0.9996638655462184,69.3526050420168,2975,1.0
2019-02,1081,161.8905842947525,2687,0.9995037836496712,63.553777446966876,2687,0.9998759459124178,175.19799032378117,2687,1.0,69.61220692221809,2687,1.0
2019-03,1081,152.88346244526775,2969,0.9964097385840907,64.12057931963624,2969,0.999326825984517,168.86072751768273,2969,0.9992146303152698,63.973054900639944,2969,0.999326825984517
2019-04,1081,157.64501563042722,2879,0.9995368762301725,62.106113233761725,2879,0.9997684381150863,171.714136853074,2879,1.0,65.96734977422716,2879,1.0
2019-05,1081,159.68413933040245,2957,1.0,61.0483598241461,2957,0.9996618194115657,171.66080486980047,2957,1.0,63.57084883327697,2957,1.0
2019-06,1081,167.29489406043766,2879,1.0,61.679749913164294,2879,1.0,172.1547412295936,2879,0.9993053143452588,64.57415769364363,2879,1.0
2019-07,1081,176.88517148621386,2974,0.9994397759103641,63.1906523201076,2974,0.9996638655462184,179.4899125756557,2974,0.9996638655462184,70.16543375924681,2974,0.9996638655462184
2019-08,1081,171.88892628744532,2971,0.998655462184874,62.242760942760945,2970,0.9983193277310924,174.62895622895624,2970,0.9983193277310924,68.37508417508417,2970,0.9983193277310924
2019-09,1081,164.25809896760413,2809,0.974332292750607,61.37913848344606,2809,0.9735229506301306,171.53418803418805,2808,0.9739854318418314,68.04309116809117,2808,0.9739854318418314
2019-10,1081,163.39714285714285,2975,0.9998879551820727,62.500672268907564,2975,0.9996638655462184,173.43058823529412,2975,0.9995518207282913,68.58924369747899,2975,1.0
2019-11,1081,161.4610820244328,2865,0.9945582957045271,61.81256544502618,2865,0.9949056385318977,162.8020942408377,2865,0.9951372004168114,64.77731239092496,2865,0.9951372004168114
2019-12,1081,147.5390365448505,1204,0.4127528282482002,59.607142857142854,1204,0.4127528282482002,158.37707641196013,1204,0.4127528282482002,63.3936877076412,1204,0.4127528282482002
2020-01,1081,145.94847020933977,621,0.20887991927346114,59.72302737520129,621,0.20887991927346114,157.57890499194846,621,0.2086556788877677,93.10466988727859,621,0.20887991927346114
2020-02,1081,145.70032397408207,2778,0.9977242783566894,59.251799856011516,2778,0.9974847287100251,104.19283593170007,2694,0.9414301113905857,93.51386388188693,2777,0.9978440531800216
2020-03,1081,94.61346801346801,2970,0.9917003140421714,45.82822499157966,2969,0.993719156572454,65.5097610232245,2971,0.9986541049798116,60.45641198249748,2971,0.9996635262449529
2020-04,1081,100.71888038942977,2876,0.9938614778781562,54.691570881226056,2871,0.7180912670836228,70.19909659485754,2878,0.9989576094510076,64.02744961779013,2878,1.0
2020-05,1081,136.20649218218898,2942,0.9996600951733514,56.83390061266167,2938,0.6663267618400182,84.92607070020394,2942,0.9988669839111715,85.85146159075458,2942,1.0
2020-06,1081,150.14468159552135,2858,0.9928190873291638,59.13935574229692,2856,0.6620338197822562,92.53656403079076,2858,0.8765346305304609,93.45451364590623,2858,0.9930507296733843
2020-07,1081,148.77867473932056,2973,0.9998878798071532,59.543771043771045,2970,0.6681242291736742,167.10800807537012,2972,0.9993272788429196,93.54508748317632,2972,0.9996636394214599
2020-08,1081,147.12074772650723,2969,0.9989902389767755,61.04228436657682,2968,0.9732974307191742,163.89150943396226,2968,0.9987658476382812,93.0855795148248,2968,0.9989902389767755
2020-09,1081,151.97619893428063,2815,0.9978730946472882,62.81076759061834,2814,0.9971641261963843,171.0533428165007,2812,0.9965733191539644,95.83285917496444,2812,0.9969278033794163
2020-10,1081,134.42953245879582,2973,0.9984313725490197,61.070467541204174,2973,0.9991036414565827,158.9330642448705,2973,0.999327731092437,88.83652875882946,2973,0.999327731092437
2020-12,1081,129.76884422110552,597,0.9878385848535102,56.32046979865772,596,0.9872857932559426,150.5755033557047,596,0.988391376451078,90.09228187919463,596,0.988391376451078
2021-01,1081,135.99965974821367,2939,0.9958092649224147,56.84348417829194,2939,0.9986408426775399,152.83548826131337,2939,0.9985275795673348,91.76582709326073,2938,0.9983010533469249
