year_month,intersection_id,south_mean,south_observations,south_coverage,west_mean,west_observations,west_coverage,north_mean,north_observations,north_coverage,east_mean,east_observations,east_coverage
2018-10,1001,96.42852100247087,2833,0.9841435185185186,172.29216027874565,2870,0.9943287037037036,135.65191637630662,2870,0.9258101851851852,111.84634146341463,2870,0.9965277777777778
2018-10,1002,140.77682067345341,2554,0.8868055555555555,73.14056382145654,2554,0.8819444444444444,98.54937304075236,2552,0.8861111111111111,78.06700626959248,2552,0.8861111111111111
2018-10,1010,174.9675279329609,2864,0.9959490740740742,71.88394718554552,2878,0.996875,77.63863794301598,2878,0.9993055555555556,68.9694232105629,2878,0.4996527777777778
2018-10,1012,197.89402362751912,2878,0.9993055555555556,,0,,,0,,119.01014556682841,2267,0.7871527777777778
2018-10,1014,291.45416666666665,2880,1.0,181.88784722222223,2880,1.0,,0,0.0,,0,0.0
2018-10,1016,220.6528164116829,2876,0.6658564814814815,120.64618055555556,2880,0.9993923611111111,155.89479166666666,2880,1.0,65.40034722222222,2880,1.0
2018-10,1017,897.4900938477581,2877,0.9989583333333333,977.7508417508418,2079,0.7210069444444445,744.3475842891901,2877,0.9989583333333333,977.3983315954118,2877,0.9989583333333333
2018-10,1018,,0,,,0,,,0,,,0,
2018-10,1019,276.31988472622476,2776,0.9572916666666667,39.92615273775216,2776,0.9638888888888889,299.7315315315315,2775,0.9635416666666666,,0,
2018-10,1021,114.525,2880,1.0,138.5420138888889,2880,1.0,44.153125,2880,1.0,151.25694444444446,2880,1.0
2018-10,1028,,0,,37.150260869565216,2875,0.9972222222222222,204.2406956521739,2875,0.9982638888888888,200.6935652173913,2875,0.9982638888888888
2018-10,1029,,0,,281.10163592064043,2873,0.9975694444444444,45.26905673512008,2873,0.9973958333333334,245.3699965193178,2873,0.9975694444444444
2018-10,1031,114.97818499127399,2865,0.9858796296296297,142.36336805555555,2880,0.9980324074074075,217.0090277777778,2880,1.0,180.6795138888889,2880,1.0
2018-10,1032,113.15199345258972,2851,0.9832465277777778,258.02725035161745,2844,0.662962962962963,36.5136186770428,2570,0.8923611111111112,264.1328070175439,2850,0.9748842592592593
2018-10,1033,160.38973032877723,2707,0.9396990740740742,71.9165435745938,2708,0.9401041666666666,104.99593796159527,2708,0.9599537037037037,52.79958318860716,2879,0.9996527777777777
2018-10,1034,177.31805555555556,2880,0.9361979166666666,198.31979166666667,2880,1.0,139.22743055555554,2880,1.0,39.04236111111111,2880,1.0
2018-10,1035,217.93984700973576,2876,0.9986111111111111,72.73435326842838,2876,0.9975694444444444,172.90939130434782,2875,0.9959490740740742,178.4046956521739,2875,0.9981481481481481
2018-10,1036,290.2545138888889,2880,1.0,172.6496527777778,2880,1.0,256.8517361111111,2880,1.0,86.578125,2880,1.0
2018-10,1037,88.20840569642237,2879,0.9996527777777777,114.08058353594998,2879,0.9994212962962964,109.44043070510594,2879,0.9996527777777777,118.95831886071552,2879,0.9996527777777777
2018-10,1038,90.12008353637313,2873,0.9975694444444444,288.29110105580696,2873,0.7503472222222223,111.65402018795685,2873,0.9975694444444444,157.6776888270101,2873,0.9975694444444444
2018-10,1039,,0,,,0,,,0,,,0,
2018-10,1040,171.41979166666667,2880,1.0,179.36666666666667,2880,1.0,189.38888888888889,2880,1.0,51.19861111111111,2880,1.0
2018-10,1042,,0,,,0,,,0,,,0,
2018-10,1043,21.361479413817168,2866,0.9951388888888889,346.9637377963738,2868,0.9958333333333333,264.74965132496516,2868,0.9958333333333333,775.2676828053396,2868,0.9955729166666667
2018-10,1044,,0,,,0,,,0,,,0,
2018-10,1047,116.80590277777777,2880,1.0,193.38715277777777,2880,0.996875,121.53055555555555,2880,1.0,83.58576388888889,2880,1.0
2018-10,1048,,0,,268.9601436265709,2785,0.9670138888888888,68.4265709156194,2785,0.9670138888888888,160.28438061041294,2785,0.9670138888888888
2018-10,1051,133.09027777777777,2880,1.0,,0,,148.93055555555554,2880,1.0,87.85833333333333,2880,1.0
2018-10,1053,58.678760126805216,2839,0.9857638888888889,90.13067981683692,2839,0.9857638888888889,128.85135611130679,2839,0.9857638888888889,60.07185628742515,2839,0.9847222222222223
2018-10,1054,54.66319444444444,2880,1.0,157.8204861111111,2880,1.0,129.06076388888889,2880,1.0,115.93576388888889,2880,1.0
2018-10,1057,92.69444444444444,2880,1.0,219.36215277777777,2880,1.0,108.30590277777777,2880,1.0,204.87916666666666,2880,1.0
2018-10,1059,,0,,,0,,,0,,,0,
2018-10,1065,,0,,,0,,,0,,,0,
2018-10,1066,68.6872828353023,2878,0.9993055555555556,199.21716469770675,2878,0.9993055555555556,71.60111188325226,2878,0.9993055555555556,207.227936066713,2878,0.9993055555555556
2018-10,1067,58.15264465743699,2817,0.978125,415.2555910543131,2817,0.9769965277777778,276.71139510117143,2817,0.978125,161.11998580049698,2817,0.978125
2018-10,1068,,0,,221.32209867963863,2878,0.9993055555555556,122.95343988881167,2878,0.9831597222222223,259.2894371091035,2878,0.9993055555555556
2018-10,1069,,0,,,0,,,0,,,0,
2018-10,1070,133.49930507296733,2878,0.9993055555555556,157.09694232105628,2878,0.9980902777777778,229.82001389854065,2878,0.9993055555555556,160.09138290479498,2878,0.9993055555555556
2018-10,1071,239.74655445786073,2733,0.9485243055555556,76.51420904988413,2733,0.9462673611111111,275.38785217709477,2733,0.9489583333333333,61.63519941456275,2733,0.9489583333333333
2018-10,1072,347.98575498575497,2808,0.975,253.37001424501423,2808,0.9748263888888888,365.5575347345921,2807,0.9746527777777778,83.19736373352333,2807,0.9746527777777778
2018-10,1074,,0,,345.8442822384428,2877,0.9989583333333333,191.83889468196037,2877,0.9982638888888888,100.06777893639207,2877,0.9989583333333333
2018-10,1075,222.78816526610643,2856,0.9916666666666667,85.67436974789916,2856,0.9916666666666667,,0,,632.3785014005603,2856,0.9916666666666667
